Country or Area	Intermediate Region	Sub-region	Region	UNSD M49 Codes
Algeria		Northern Africa	Africa	012 < 015 < 002 < 001
Egypt		Northern Africa	Africa	818 < 015 < 002 < 001
Libya		Northern Africa	Africa	434 < 015 < 002 < 001
Morocco		Northern Africa	Africa	504 < 015 < 002 < 001
Sudan		Northern Africa	Africa	729 < 015 < 002 < 001
Tunisia		Northern Africa	Africa	788 < 015 < 002 < 001
Western Sahara		Northern Africa	Africa	732 < 015 < 002 < 001
British Indian Ocean Territory	Eastern Africa	Sub-Saharan Africa	Africa	086 < 014 < 202 < 002 < 001
Burundi	Eastern Africa	Sub-Saharan Africa	Africa	108 < 014 < 202 < 002 < 001
Comoros	Eastern Africa	Sub-Saharan Africa	Africa	174 < 014 < 202 < 002 < 001
Djibouti	Eastern Africa	Sub-Saharan Africa	Africa	262 < 014 < 202 < 002 < 001
Eritrea	Eastern Africa	Sub-Saharan Africa	Africa	232 < 014 < 202 < 002 < 001
Ethiopia	Eastern Africa	Sub-Saharan Africa	Africa	231 < 014 < 202 < 002 < 001
French Southern Territories	Eastern Africa	Sub-Saharan Africa	Africa	260 < 014 < 202 < 002 < 001
Kenya	Eastern Africa	Sub-Saharan Africa	Africa	404 < 014 < 202 < 002 < 001
Madagascar	Eastern Africa	Sub-Saharan Africa	Africa	450 < 014 < 202 < 002 < 001
Malawi	Eastern Africa	Sub-Saharan Africa	Africa	454 < 014 < 202 < 002 < 001
Mauritius	Eastern Africa	Sub-Saharan Africa	Africa	480 < 014 < 202 < 002 < 001
Mayotte	Eastern Africa	Sub-Saharan Africa	Africa	175 < 014 < 202 < 002 < 001
Mozambique	Eastern Africa	Sub-Saharan Africa	Africa	508 < 014 < 202 < 002 < 001
Réunion	Eastern Africa	Sub-Saharan Africa	Africa	638 < 014 < 202 < 002 < 001
Rwanda	Eastern Africa	Sub-Saharan Africa	Africa	646 < 014 < 202 < 002 < 001
Seychelles	Eastern Africa	Sub-Saharan Africa	Africa	690 < 014 < 202 < 002 < 001
Somalia	Eastern Africa	Sub-Saharan Africa	Africa	706 < 014 < 202 < 002 < 001
South Sudan	Eastern Africa	Sub-Saharan Africa	Africa	728 < 014 < 202 < 002 < 001
Uganda	Eastern Africa	Sub-Saharan Africa	Africa	800 < 014 < 202 < 002 < 001
United Republic of Tanzania	Eastern Africa	Sub-Saharan Africa	Africa	834 < 014 < 202 < 002 < 001
Zambia	Eastern Africa	Sub-Saharan Africa	Africa	894 < 014 < 202 < 002 < 001
Zimbabwe	Eastern Africa	Sub-Saharan Africa	Africa	716 < 014 < 202 < 002 < 001
Angola	Middle Africa	Sub-Saharan Africa	Africa	024 < 017 < 202 < 002 < 001
Cameroon	Middle Africa	Sub-Saharan Africa	Africa	120 < 017 < 202 < 002 < 001
Central African Republic	Middle Africa	Sub-Saharan Africa	Africa	140 < 017 < 202 < 002 < 001
Chad	Middle Africa	Sub-Saharan Africa	Africa	148 < 017 < 202 < 002 < 001
Congo	Middle Africa	Sub-Saharan Africa	Africa	178 < 017 < 202 < 002 < 001
Democratic Republic of the Congo	Middle Africa	Sub-Saharan Africa	Africa	180 < 017 < 202 < 002 < 001
Equatorial Guinea	Middle Africa	Sub-Saharan Africa	Africa	226 < 017 < 202 < 002 < 001
Gabon	Middle Africa	Sub-Saharan Africa	Africa	266 < 017 < 202 < 002 < 001
Sao Tome and Principe	Middle Africa	Sub-Saharan Africa	Africa	678 < 017 < 202 < 002 < 001
Botswana	Southern Africa	Sub-Saharan Africa	Africa	072 < 018 < 202 < 002 < 001
Eswatini [Swaziland]	Southern Africa	Sub-Saharan Africa	Africa	748 < 018 < 202 < 002 < 001
Lesotho	Southern Africa	Sub-Saharan Africa	Africa	426 < 018 < 202 < 002 < 001
Namibia	Southern Africa	Sub-Saharan Africa	Africa	516 < 018 < 202 < 002 < 001
South Africa	Southern Africa	Sub-Saharan Africa	Africa	710 < 018 < 202 < 002 < 001
Benin	Western Africa	Sub-Saharan Africa	Africa	204 < 011 < 202 < 002 < 001
Burkina Faso	Western Africa	Sub-Saharan Africa	Africa	854 < 011 < 202 < 002 < 001
Cabo Verde [Cape Verde]	Western Africa	Sub-Saharan Africa	Africa	132 < 011 < 202 < 002 < 001
Côte d'Ivoire [Ivory Coast]	Western Africa	Sub-Saharan Africa	Africa	384 < 011 < 202 < 002 < 001
Gambia	Western Africa	Sub-Saharan Africa	Africa	270 < 011 < 202 < 002 < 001
Ghana	Western Africa	Sub-Saharan Africa	Africa	288 < 011 < 202 < 002 < 001
Guinea	Western Africa	Sub-Saharan Africa	Africa	324 < 011 < 202 < 002 < 001
Guinea-Bissau	Western Africa	Sub-Saharan Africa	Africa	624 < 011 < 202 < 002 < 001
Liberia	Western Africa	Sub-Saharan Africa	Africa	430 < 011 < 202 < 002 < 001
Mali	Western Africa	Sub-Saharan Africa	Africa	466 < 011 < 202 < 002 < 001
Mauritania	Western Africa	Sub-Saharan Africa	Africa	478 < 011 < 202 < 002 < 001
Niger	Western Africa	Sub-Saharan Africa	Africa	562 < 011 < 202 < 002 < 001
Nigeria	Western Africa	Sub-Saharan Africa	Africa	566 < 011 < 202 < 002 < 001
Saint Helena [Saint Helena, Ascension and Tristan da Cunha]	Western Africa	Sub-Saharan Africa	Africa	654 < 011 < 202 < 002 < 001
Senegal	Western Africa	Sub-Saharan Africa	Africa	686 < 011 < 202 < 002 < 001
Sierra Leone	Western Africa	Sub-Saharan Africa	Africa	694 < 011 < 202 < 002 < 001
Togo	Western Africa	Sub-Saharan Africa	Africa	768 < 011 < 202 < 002 < 001
Anguilla	Caribbean	Latin America and the Caribbean	Americas	660 < 029 < 419 < 019 < 001
Antigua and Barbuda	Caribbean	Latin America and the Caribbean	Americas	028 < 029 < 419 < 019 < 001
Aruba	Caribbean	Latin America and the Caribbean	Americas	533 < 029 < 419 < 019 < 001
Bahamas	Caribbean	Latin America and the Caribbean	Americas	044 < 029 < 419 < 019 < 001
Barbados	Caribbean	Latin America and the Caribbean	Americas	052 < 029 < 419 < 019 < 001
