Sub-region	colors	Genetic ID	Publication	YBP	Group ID	Country	Lat.	Long.	Molecular Sex	x	y
..	#000000	Chimp_HO	LazaridisNature2014	0.0	Primate_Chimp	..	..	..	M	-10.538919	8.509135
..	#000000	Href.REF	Genome	0.0	Href.REF	..	..	..	M	12.211877	6.79259
..	#000000	Gorilla.REF	Genome	0.0	Gorilla.REF	..	..	..	F	-10.535366	8.507227
..	#000000	..	..	0.0	..	..	..	..	..	3.5624003	-1.9422431
..	#000000	Macaque	PattersonGenetics2012	0.0	Macaque	..	..	..	M	-10.533477	8.506102
..	#000000	Marmoset	PattersonGenetics2012	0.0	Marmoset	..	..	..	M	-10.517775	8.499118
..	#000000	Ancestor.REF	ReferenceGenome	0.0	Ancestor.REF	..	..	..	M	-10.554235	8.520759
..	#000000	Href	Genome	0.0	hg19ref	HumanReferenceSequence	..	..	M	12.21589	6.8085794
..	#000000	Href_HO	LazaridisNature2014	0.0	hg19ref	HumanReferenceSequence	..	..	M	12.213549	6.8099985
..	#000000	Orang	PattersonGenetics2012	0.0	Orangutan	..	..	..	M	-10.530333	8.504611
..	#000000	Gorilla	PattersonGenetics2012	0.0	Gorilla	..	..	..	M	-10.538392	8.508056
..	#000000	Chimp.REF	Genome	0.0	Chimp.REF	..	..	..	M	-10.538799	8.508802
Africa Northern	#fca082	HGDP01277	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	F	12.123227	6.0489306
Africa Northern	#fca082	HGDP01276	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	F	12.146047	6.11595
Africa Northern	#fca082	HGDP01275	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	F	12.115791	5.943135
Africa Northern	#fca082	HGDP01273	PattersonGenetics2012	0.0	Ignore_Mozabite	Algeria	32	3	F	12.121434	5.9599867
Africa Northern	#fca082	HGDP01278	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.119397	5.9801235
Africa Northern	#fca082	HGDP01272	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.12024	5.957248
Africa Northern	#fca082	HGDP01271	PattersonGenetics2012	0.0	Ignore_Mozabite	Algeria	32	3	M	12.251808	9.514032
Africa Northern	#fca082	HGDP01270	PattersonGenetics2012	0.0	Ignore_Mozabite	Algeria	32	3	F	12.341809	10.190747
Africa Northern	#fca082	HGDP01269	PattersonGenetics2012	0.0	Ignore_Mozabite	Algeria	32	3	M	12.136317	6.00267
Africa Northern	#fca082	HGDP01268	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.125762	5.997701
Africa Northern	#fca082	HGDP01265	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.122249	5.9970365
Africa Northern	#fca082	HGDP01264	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.113502	5.935269
Africa Northern	#fca082	MCA8	LazaridisNature2016	0.0	Moroccan	Morocco	33.53	-7.58	M	12.127286	6.105205
Africa Northern	#fca082	HGDP01274	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	F	12.164321	6.224943
Africa Northern	#fca082	HGDP01279	PattersonGenetics2012	0.0	Mozabite	Algeria	32	3	M	12.121247	6.0283427
