Sub-region	colors	Genetic ID	Publication	YBP	year_range	Group ID	Country	Lat.	Long.	Molecular Sex	mtDNA haplogroup	x	y
..	#000000	Chimp_HO	LazaridisNature2014	0.0	0	Primate_Chimp	..	..	..	M	..	3.8223443	14.627763
..	#000000	Href.REF	Genome	0.0	0	Href.REF	..	..	..	M	..	12.131356	6.602063
..	#000000	Gorilla.REF	Genome	0.0	0	Gorilla.REF	..	..	..	F	..	3.822132	14.627956
..	#000000	..	..	0.0	0	..	..	..	..	..	..	2.8278487	-3.145846
..	#000000	Macaque	PattersonGenetics2012	0.0	0	Macaque	..	..	..	M	..	3.8218057	14.628553
..	#000000	Marmoset	PattersonGenetics2012	0.0	0	Marmoset	..	..	..	M	..	3.819706	14.631678
..	#000000	Ancestor.REF	ReferenceGenome	0.0	0	Ancestor.REF	..	..	..	M	..	3.822132	14.628056
..	#000000	Href	Genome	0.0	0	hg19ref	HumanReferenceSequence	..	..	M	..	12.134783	6.642885
..	#000000	Href_HO	LazaridisNature2014	0.0	0	hg19ref	HumanReferenceSequence	..	..	M	..	12.135061	6.6368995
..	#000000	Orang	PattersonGenetics2012	0.0	0	Orangutan	..	..	..	M	..	3.8215082	14.629047
..	#000000	Gorilla	PattersonGenetics2012	0.0	0	Gorilla	..	..	..	M	..	3.8220184	14.628275
..	#000000	Chimp.REF	Genome	0.0	0	Chimp.REF	..	..	..	M	..	3.822433	14.627824
Africa Northern	#fca082	HGDP01277	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	11.965058	5.8801975
Africa Northern	#fca082	HGDP01276	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	11.97406	5.932669
Africa Northern	#fca082	HGDP01275	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	11.951297	5.825145
Africa Northern	#fca082	HGDP01273	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	F	..	11.951586	5.8293753
Africa Northern	#fca082	HGDP01278	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.94806	5.8313365
Africa Northern	#fca082	HGDP01272	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.951351	5.8196425
Africa Northern	#fca082	HGDP01271	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	M	..	12.871307	9.511768
Africa Northern	#fca082	HGDP01270	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	F	..	13.081293	10.117647
Africa Northern	#fca082	HGDP01269	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	M	..	11.933678	5.8155212
Africa Northern	#fca082	HGDP01268	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.957005	5.8549795
Africa Northern	#fca082	HGDP01265	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.950674	5.8340626
Africa Northern	#fca082	HGDP01264	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.953738	5.8313713
Africa Northern	#fca082	MCA8	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	11.950734	5.9157987
Africa Northern	#fca082	HGDP01274	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	12.002923	6.041159
Africa Northern	#fca082	HGDP01279	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.961821	5.8662014
Africa Northern	#fca082	HGDP01263	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.87334	5.374606
Africa Northern	#fca082	HGDP01282	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.951083	5.822314
Africa Northern	#fca082	Egypt8	LazaridisNature2014	0.0	0	Ignore_Egyptian	Egypt	30.173625	31.234131	M	..	12.025886	6.297198
Africa Northern	#fca082	Egypt7	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.822816	5.1955996
